video,track_id,total_frames,MAD_mean,MAD_std,MAD_streak_at_p25,MSE_mean,MSE_std,MSE_streak_at_p25,SAD_mean,SAD_std,SAD_streak_at_p25,SSIM_mean,SSIM_std,SSIM_streak_at_p25,MS_SSIM_mean,MS_SSIM_std,MS_SSIM_streak_at_p25,GRAD_mean,GRAD_std,GRAD_streak_at_p25,CANNY_mean,CANNY_std,CANNY_streak_at_p25,OF_MAG_mean,OF_MAG_std,OF_MAG_streak_at_p25,OF_SPARSE_mean,OF_SPARSE_std,OF_SPARSE_streak_at_p25,MOG2_mean,MOG2_std,MOG2_streak_at_p25,DCT_mean,DCT_std,DCT_streak_at_p25,PHASE_mean,PHASE_std,PHASE_streak_at_p25,HIST_mean,HIST_std,HIST_streak_at_p25,PHASH_mean,PHASH_std,PHASH_streak_at_p25,MAD_streak10,MAD_streak20,MAD_streak30,MAD_streak60,MAD_streak100,MAD_streak150,MAD_streak200,MSE_streak10,MSE_streak20,MSE_streak30,MSE_streak60,MSE_streak100,MSE_streak150,MSE_streak200,SAD_streak10,SAD_streak20,SAD_streak30,SAD_streak60,SAD_streak100,SAD_streak150,SAD_streak200,SSIM_streak10,SSIM_streak20,SSIM_streak30,SSIM_streak60,SSIM_streak100,SSIM_streak150,SSIM_streak200,MS_SSIM_streak10,MS_SSIM_streak20,MS_SSIM_streak30,MS_SSIM_streak60,MS_SSIM_streak100,MS_SSIM_streak150,MS_SSIM_streak200,GRAD_streak10,GRAD_streak20,GRAD_streak30,GRAD_streak60,GRAD_streak100,GRAD_streak150,GRAD_streak200,CANNY_streak10,CANNY_streak20,CANNY_streak30,CANNY_streak60,CANNY_streak100,CANNY_streak150,CANNY_streak200,OF_MAG_streak10,OF_MAG_streak20,OF_MAG_streak30,OF_MAG_streak60,OF_MAG_streak100,OF_MAG_streak150,OF_MAG_streak200,OF_SPARSE_streak10,OF_SPARSE_streak20,OF_SPARSE_streak30,OF_SPARSE_streak60,OF_SPARSE_streak100,OF_SPARSE_streak150,OF_SPARSE_streak200,MOG2_streak10,MOG2_streak20,MOG2_streak30,MOG2_streak60,MOG2_streak100,MOG2_streak150,MOG2_streak200,DCT_streak10,DCT_streak20,DCT_streak30,DCT_streak60,DCT_streak100,DCT_streak150,DCT_streak200,PHASE_streak10,PHASE_streak20,PHASE_streak30,PHASE_streak60,PHASE_streak100,PHASE_streak150,PHASE_streak200,HIST_streak10,HIST_streak20,HIST_streak30,HIST_streak60,HIST_streak100,HIST_streak150,HIST_streak200,PHASH_streak10,PHASH_streak20,PHASH_streak30,PHASH_streak60,PHASH_streak100,PHASH_streak150,PHASH_streak200
20260508191031529_J92135174_hcDownloadP_Candy Kneading Area_51_video 2,12,14,1.3984,1.0036,4,10.9316,23.1314,4,1432.0,1027.7104,4,0.0308,0.0577,4,0.0308,0.0577,4,6.9841,5.5654,4,0.0354,0.0278,3,0.1075,0.128,2,0.0844,0.1798,2,0.0847,0.2575,11,1.5615,1.4552,4,0.1315,0.1973,2,0.0899,0.0118,3,7.1429,5.111,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20260508191031529_J92135174_hcDownloadP_Candy Kneading Area_51_video 2,13,23,5.7131,0.603,4,86.6773,13.284,3,5850.2174,617.4877,4,0.3046,0.0356,3,0.3046,0.0356,3,24.8462,1.7106,3,0.1302,0.0162,2,0.9976,0.1245,3,0.073,0.0668,1,0.0566,0.2023,2,5.5712,0.3481,3,0.3111,0.1275,3,0.1081,0.0238,4,6.087,0.4079,22,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
20260508191031529_J92135174_hcDownloadP_Candy Kneading Area_51_video 2,14,10,4.3785,2.7624,3,88.7439,94.4495,3,4483.6,2828.6728,3,0.2119,0.1518,2,0.2119,0.1518,2,23.751,13.5064,2,0.1219,0.0485,3,0.6652,0.4291,2,1.3116,1.8126,2,0.2335,0.3895,3,5.7899,2.5707,3,0.4937,0.2959,2,0.1008,0.0366,2,8.8,5.9464,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20260508191031529_J92135174_hcDownloadP_Candy Kneading Area_51_video 2,16,33,3.7168,0.9722,8,54.5984,25.007,8,3805.9697,995.5276,8,0.1414,0.0687,8,0.1414,0.0687,8,20.3586,5.9967,9,0.1244,0.0309,8,0.4048,0.1537,8,0.0643,0.026,3,0.0352,0.1706,7,5.5388,1.6356,8,0.1709,0.0981,3,0.0867,0.0098,3,4.0606,1.5943,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
20260508191031529_J92135174_hcDownloadP_Candy Kneading Area_51_video 2,17,78,5.2482,1.6165,10,99.8735,48.6201,10,5374.1154,1655.2492,10,0.223,0.086,10,0.223,0.086,10,25.9922,6.2649,9,0.1494,0.0327,9,0.6503,0.2476,9,1.2239,0.6137,9,0.0343,0.1663,18,6.7754,1.4057,10,0.4063,0.143,9,0.0977,0.017,4,13.5641,4.7572,9,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20260508191031529_J92135174_hcDownloadP_Candy Kneading Area_51_video 2,18,38,6.9977,0.1301,5,173.5851,5.778,2,7165.6842,133.2647,5,0.3604,0.0118,5,0.3604,0.0118,5,36.0953,0.5483,2,0.1241,0.0053,5,1.9019,0.1232,9,1.012,0.1917,9,0.0282,0.1599,28,7.1617,0.096,5,0.5759,0.1272,4,0.1309,0.0097,3,14.2105,0.7663,31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False
20260508191031529_J92135174_hcDownloadP_Candy Kneading Area_51_video 2,19,42,1.6331,0.2468,11,8.4394,7.267,11,1672.2857,252.7145,11,0.0188,0.0056,8,0.0188,0.0056,8,9.0707,1.7784,9,0.0255,0.0053,4,0.0621,0.0216,6,0.1083,0.0542,4,0.026,0.1523,30,2.1943,0.5911,11,0.0599,0.0459,5,0.0925,0.0115,5,1.3333,1.1269,6,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20260508191031529_J92135174_hcDownloadP_Candy Kneading Area_51_video 2,21,7,0.8384,0.57,1,5.603,11.1173,2,858.5714,583.6784,1,0.0241,0.0465,2,0.0241,0.0465,2,4.7846,3.372,1,0.0218,0.0171,1,0.1138,0.183,2,0.133,0.2495,1,0.1489,0.3478,5,1.2274,1.2122,1,0.0876,0.0967,1,0.0445,0.019,2,1.1429,0.9897,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20260508191031529_J92135174_hcDownloadP_Candy Kneading Area_51_video 2,22,6,0.9118,0.0716,2,12.1966,2.7971,2,933.6667,73.2795,2,0.0051,0.0011,2,0.0051,0.0011,2,5.9798,0.5851,2,0.0251,0.006,1,0.0253,0.0047,2,0.0383,0.0071,2,0.1698,0.3713,3,2.7634,0.332,2,0.0459,0.0119,2,0.0433,0.0025,1,0.0,0.0,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20260508191031529_J92135174_hcDownloadP_Candy Kneading Area_51_video 2,23,6,0.3582,0.0195,2,0.3739,0.0258,2,366.8333,19.9367,2,0.0006,0.0,2,0.0006,0.0,2,2.2178,0.1222,2,0.0156,0.0028,2,0.0178,0.0029,2,3.3296,1.4881,1,0.1667,0.3727,5,0.4778,0.0159,1,0.0164,0.0072,1,0.0349,0.001,1,0.0,0.0,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20260508191733307_J92135174_hcDownloadP_Candy Kneading Area_51_video 2,1,65,1.4379,3.6118,7,57.91,217.8362,7,1472.4,3698.5223,7,0.0412,0.1465,7,0.0412,0.1465,7,7.3129,17.6475,7,0.0272,0.0363,3,0.1796,0.5949,3,1.8542,2.1625,4,0.0792,0.2664,59,1.5454,3.6252,7,0.2267,1.0471,3,0.0512,0.0405,8,2.0,7.2154,60,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False
20260508191733307_J92135174_hcDownloadP_Candy Kneading Area_51_video 2,2,122,1.0731,0.1154,17,12.9685,4.3271,9,1098.8197,118.1943,17,0.0054,0.0017,14,0.0054,0.0017,14,6.6417,0.7388,18,0.0282,0.0048,5,0.0308,0.0084,6,0.0374,0.0096,11,0.0098,0.09,8,2.723,0.4432,9,0.0722,0.0271,8,0.0472,0.005,4,0.8033,0.9805,28,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
20260508191733307_J92135174_hcDownloadP_Candy Kneading Area_51_video 2,3,104,0.9854,0.0764,7,9.4039,2.5866,3,1009.0577,78.2584,7,0.005,0.0011,3,0.005,0.0011,3,5.8409,0.4594,7,0.0232,0.0042,4,0.0289,0.0081,7,0.0607,0.0193,2,0.0113,0.0974,3,2.342,0.2637,2,0.0508,0.0221,4,0.0537,0.0047,5,0.3654,0.7728,32,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False
20260508191733307_J92135174_hcDownloadP_Candy Kneading Area_51_video 2,4,82,1.3706,0.1549,3,23.5923,6.8933,4,1403.4878,158.6508,3,0.0082,0.0024,5,0.0082,0.0024,5,8.2352,0.7903,4,0.0308,0.0061,4,0.0369,0.0068,6,0.0506,0.0151,3,0.0151,0.1095,5,3.7426,0.5737,4,0.0628,0.0275,3,0.056,0.0052,3,0.1463,0.5208,45,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False
20260508191733307_J92135174_hcDownloadP_Candy Kneading Area_51_video 2,6,41,0.8126,0.1365,2,6.8365,4.1313,2,832.122,139.7674,2,0.0037,0.0024,2,0.0037,0.0024,2,4.9968,0.8052,3,0.019,0.0059,5,0.0197,0.0059,2,0.0282,0.0067,4,0.0261,0.154,5,1.8386,0.5184,2,0.054,0.0278,2,0.0519,0.0051,3,0.7805,0.9756,13,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
20260508191733307_J92135174_hcDownloadP_Candy Kneading Area_51_video 2,8,34,2.0962,0.2888,7,16.0065,3.641,7,2146.5588,295.7753,7,0.0823,0.0192,7,0.0823,0.0192,7,12.7993,1.7149,7,0.0832,0.0145,4,0.3093,0.0737,7,0.3719,0.1113,7,0.0303,0.1688,25,2.9667,0.3426,7,0.2028,0.0689,6,0.0612,0.0106,3,5.6471,1.4118,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20260508191733307_J92135174_hcDownloadP_Candy Kneading Area_51_video 2,9,66,2.722,0.7999,13,34.1437,16.2252,17,2787.3788,819.0599,13,0.115,0.0448,12,0.115,0.0448,12,14.7843,4.2374,17,0.0814,0.02,8,0.396,0.1415,10,0.8033,1.0361,8,0.0283,0.1222,11,4.0946,1.1061,17,0.4708,0.1899,5,0.0719,0.0193,11,9.3333,3.8508,12,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
20260508191733307_J92135174_hcDownloadP_Candy Kneading Area_51_video 2,10,28,1.1393,0.2046,6,2.4429,0.4621,6,1166.6429,209.5543,6,0.0076,0.0015,6,0.0076,0.0015,6,6.3038,1.1326,5,0.0353,0.0088,3,0.064,0.0171,2,0.292,0.1558,2,0.0357,0.1856,27,1.1974,0.1795,4,0.0372,0.0227,3,0.0753,0.0138,2,0.5714,0.9035,12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
